communal ARCC MESA version loaded
/cluster/medbow/home/cworsley/tspComparison/bankGen.js:25
    fs.writeFileSync(fname, JSON.stringify(mat));
                                 ^

RangeError: Invalid string length
    at JSON.stringify (<anonymous>)
    at Object.<anonymous> (/cluster/medbow/home/cworsley/tspComparison/bankGen.js:25:34)
    at Module._compile (node:internal/modules/cjs/loader:1730:14)
    at Object..js (node:internal/modules/cjs/loader:1895:10)
    at Module.load (node:internal/modules/cjs/loader:1465:32)
    at Function._load (node:internal/modules/cjs/loader:1282:12)
    at TracingChannel.traceSync (node:diagnostics_channel:322:14)
    at wrapModuleLoad (node:internal/modules/cjs/loader:235:24)
    at Function.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:170:5)
    at node:internal/main/run_main_module:36:49

Node.js v22.15.0
Running Held-Karp experiment...
LS: n=466, time=110ms, length=14784
LS: n=471, time=112ms, length=14733
LS: n=476, time=113ms, length=14372
LS: n=481, time=119ms, length=14534
LS: n=486, time=120ms, length=15249
LS: n=491, time=122ms, length=16006
LS: n=496, time=124ms, length=15462
LS: n=501, time=127ms, length=15871
LS: n=511, time=130ms, length=16524
LS: n=521, time=137ms, length=15831
LS: n=531, time=142ms, length=16428
LS: n=541, time=146ms, length=16071
LS: n=551, time=152ms, length=16673
LS: n=561, time=158ms, length=17509
LS: n=571, time=164ms, length=17806
LS: n=581, time=169ms, length=16723
LS: n=591, time=176ms, length=17386
LS: n=601, time=183ms, length=19081
LS: n=611, time=188ms, length=19238
LS: n=621, time=194ms, length=19794
LS: n=631, time=201ms, length=19794
LS: n=641, time=210ms, length=19382
LS: n=651, time=212ms, length=20463
LS: n=661, time=222ms, length=21529
LS: n=671, time=227ms, length=21645
LS: n=681, time=232ms, length=22468
LS: n=691, time=245ms, length=21598
LS: n=701, time=248ms, length=21856
LS: n=711, time=253ms, length=23284
LS: n=721, time=260ms, length=22571
LS: n=731, time=272ms, length=22725
LS: n=741, time=276ms, length=22904
LS: n=751, time=287ms, length=24563
LS: n=761, time=294ms, length=24500
LS: n=771, time=302ms, length=24679
LS: n=781, time=314ms, length=24874
LS: n=791, time=322ms, length=25125
LS: n=801, time=331ms, length=27084
LS: n=811, time=339ms, length=26207
LS: n=821, time=349ms, length=27037
LS: n=831, time=344ms, length=27144
LS: n=841, time=332ms, length=25988
LS: n=851, time=338ms, length=27097
LS: n=861, time=351ms, length=28412
LS: n=871, time=351ms, length=28786
LS: n=881, time=362ms, length=28198
LS: n=891, time=370ms, length=30042
LS: n=901, time=378ms, length=28907
LS: n=911, time=385ms, length=29540
LS: n=921, time=395ms, length=30824
LS: n=931, time=415ms, length=30191
LS: n=941, time=419ms, length=30998
LS: n=951, time=420ms, length=31162
LS: n=961, time=430ms, length=32330
LS: n=971, time=438ms, length=32525
LS: n=981, time=449ms, length=32387
LS: n=991, time=464ms, length=33028
LS: n=1001, time=483ms, length=32585
LS: n=1026, time=492ms, length=34681
LS: n=1051, time=511ms, length=34557
LS: n=1076, time=535ms, length=36020
LS: n=1101, time=584ms, length=34636
LS: n=1126, time=592ms, length=37064
LS: n=1151, time=611ms, length=39169
LS: n=1176, time=656ms, length=39746
