n,time,tourLength
2,0,32
3,0,52
4,0,144
5,0,124
6,1,81
7,1,99
8,3,96
9,4,122
10,13,113
11,32,158
12,81,94
13,208,198
14,503,115
15,1242,141
16,3027,135
17,7355,178
18,17648,154
19,42011,144
20,99603,134
