communal ARCC MESA version loaded
Done - all matrices generated.
Running Held-Karp experiment...
LS: n=631, time=198ms, length=19538
LS: n=641, time=205ms, length=19633
LS: n=651, time=211ms, length=19672
LS: n=661, time=217ms, length=20780
LS: n=671, time=229ms, length=20521
LS: n=681, time=230ms, length=21905
LS: n=691, time=239ms, length=21565
LS: n=701, time=248ms, length=22139
LS: n=711, time=253ms, length=22754
LS: n=721, time=260ms, length=23137
LS: n=731, time=266ms, length=22290
LS: n=741, time=279ms, length=23311
LS: n=751, time=283ms, length=23713
LS: n=761, time=289ms, length=24446
LS: n=771, time=297ms, length=24684
LS: n=781, time=307ms, length=24715
LS: n=791, time=319ms, length=26486
LS: n=801, time=322ms, length=26169
LS: n=811, time=335ms, length=25745
LS: n=821, time=339ms, length=25828
LS: n=831, time=339ms, length=26586
LS: n=841, time=327ms, length=29122
LS: n=851, time=339ms, length=28189
LS: n=861, time=342ms, length=28057
LS: n=871, time=349ms, length=27997
LS: n=881, time=355ms, length=28087
LS: n=891, time=371ms, length=29435
LS: n=901, time=371ms, length=29220
LS: n=911, time=394ms, length=30369
LS: n=921, time=391ms, length=28275
LS: n=931, time=395ms, length=30854
LS: n=941, time=407ms, length=31002
LS: n=951, time=409ms, length=31243
LS: n=961, time=444ms, length=31966
LS: n=971, time=434ms, length=31449
LS: n=981, time=440ms, length=32603
LS: n=991, time=456ms, length=32447
LS: n=1001, time=474ms, length=33414
LS: n=1026, time=476ms, length=34137
LS: n=1051, time=502ms, length=34391
LS: n=1076, time=528ms, length=35879
LS: n=1101, time=571ms, length=38190
LS: n=1126, time=597ms, length=38133
LS: n=1151, time=605ms, length=38760
LS: n=1176, time=639ms, length=38301
LS: n=1201, time=697ms, length=40440
LS: n=1226, time=686ms, length=41858
LS: n=1251, time=711ms, length=41562
LS: n=1276, time=748ms, length=43641
LS: n=1301, time=779ms, length=46124
LS: n=1326, time=801ms, length=45145
LS: n=1351, time=846ms, length=45514
LS: n=1376, time=883ms, length=47841
LS: n=1401, time=921ms, length=48763
LS: n=1426, time=961ms, length=49919
LS: n=1451, time=986ms, length=51092
LS: n=1476, time=1042ms, length=49704
LS: n=1501, time=1097ms, length=50425
LS: n=1526, time=1109ms, length=53080
LS: n=1551, time=1161ms, length=53162
LS: n=1576, time=1235ms, length=54049
LS: n=1601, time=1195ms, length=54197
LS: n=1626, time=1268ms, length=58090
LS: n=1651, time=1376ms, length=57132
LS: n=1676, time=1322ms, length=57351
LS: n=1701, time=1405ms, length=61969
LS: n=1726, time=1425ms, length=59423
LS: n=1751, time=1451ms, length=63492
LS: n=1776, time=1592ms, length=64187
LS: n=1801, time=1734ms, length=63507
LS: n=1826, time=1623ms, length=64960
LS: n=1851, time=1697ms, length=66168
LS: n=1876, time=1725ms, length=66000
LS: n=1901, time=1764ms, length=67999
LS: n=1926, time=1891ms, length=69064
LS: n=1951, time=2121ms, length=72182
LS: n=1976, time=1942ms, length=69470
LS: n=2001, time=2049ms, length=70697
LS: n=2026, time=2072ms, length=71363
LS: n=2051, time=2203ms, length=75709
LS: n=2076, time=2201ms, length=75145
LS: n=2101, time=2382ms, length=73811
LS: n=2126, time=2308ms, length=74560
LS: n=2151, time=2410ms, length=78113
LS: n=2176, time=2440ms, length=78238
LS: n=2201, time=2499ms, length=79602
LS: n=2226, time=2653ms, length=81979
LS: n=2251, time=2649ms, length=82722
LS: n=2276, time=2831ms, length=83472
LS: n=2301, time=2773ms, length=82852
LS: n=2326, time=3061ms, length=83485
LS: n=2351, time=2897ms, length=85486
LS: n=2376, time=3108ms, length=85396
LS: n=2401, time=3142ms, length=87788
LS: n=2426, time=3253ms, length=90000
LS: n=2451, time=3221ms, length=89169
LS: n=2476, time=3424ms, length=90681
LS: n=2501, time=3417ms, length=91233
LS: n=2526, time=3666ms, length=93536
LS: n=2551, time=3655ms, length=92974
LS: n=2576, time=3820ms, length=94394
LS: n=2601, time=3819ms, length=94849
LS: n=2626, time=4039ms, length=96046
LS: n=2651, time=4209ms, length=95894
LS: n=2676, time=4145ms, length=99003
LS: n=2701, time=4372ms, length=101561
LS: n=2726, time=4349ms, length=100466
LS: n=2751, time=4232ms, length=100857
LS: n=2776, time=4544ms, length=102749
LS: n=2801, time=4442ms, length=102262
LS: n=2826, time=4794ms, length=105457
LS: n=2851, time=4652ms, length=105132
LS: n=2876, time=4980ms, length=107604
LS: n=2901, time=4829ms, length=106533
LS: n=2926, time=5179ms, length=109459
LS: n=2951, time=6414ms, length=111651
LS: n=2976, time=5521ms, length=109214
LS: n=3001, time=5594ms, length=112243
LS: n=3051, time=5748ms, length=112642
LS: n=3101, time=6111ms, length=114058
LS: n=3151, time=6312ms, length=119335
LS: n=3201, time=6102ms, length=121020
LS: n=3251, time=6889ms, length=119158
LS: n=3301, time=7133ms, length=125894
LS: n=3351, time=7413ms, length=126366
LS: n=3401, time=7402ms, length=127865
LS: n=3451, time=7914ms, length=134805
LS: n=3501, time=7727ms, length=130519
LS: n=3551, time=8345ms, length=138042
LS: n=3601, time=8523ms, length=139047
LS: n=3651, time=9428ms, length=136437
LS: n=3701, time=9240ms, length=141084
LS: n=3751, time=9942ms, length=141652
LS: n=3801, time=9771ms, length=143451
LS: n=3851, time=10804ms, length=145934
LS: n=3901, time=10530ms, length=146369
LS: n=3951, time=11696ms, length=151195
LS: n=4001, time=11447ms, length=152125
LS: n=4051, time=12506ms, length=156953
LS: n=4101, time=12152ms, length=159383
LS: n=4151, time=13168ms, length=161683
LS: n=4201, time=12904ms, length=161385
LS: n=4251, time=14128ms, length=165197
LS: n=4301, time=13623ms, length=167079
LS: n=4351, time=14921ms, length=170032
LS: n=4401, time=14307ms, length=170739
LS: n=4451, time=15816ms, length=172750
LS: n=4501, time=15310ms, length=173576
LS: n=4551, time=16900ms, length=174759
LS: n=4601, time=16796ms, length=179131
LS: n=4651, time=18280ms, length=179802
LS: n=4701, time=18087ms, length=183059
LS: n=4751, time=19360ms, length=183079
LS: n=4801, time=18911ms, length=186674
LS: n=4851, time=20545ms, length=191623
LS: n=4901, time=20160ms, length=191618
LS: n=4951, time=21620ms, length=189929
LS: n=5001, time=21113ms, length=195021
LS: n=5051, time=22014ms, length=199223
LS: n=5101, time=21807ms, length=200321
LS: n=5151, time=23427ms, length=202330
LS: n=5201, time=23322ms, length=202670
LS: n=5251, time=24604ms, length=205964
LS: n=5301, time=24865ms, length=206466
LS: n=5351, time=25998ms, length=209763
LS: n=5401, time=27129ms, length=214880
LS: n=5451, time=27535ms, length=212691
LS: n=5501, time=27593ms, length=221023
LS: n=5551, time=28995ms, length=219451
LS: n=5601, time=29269ms, length=219505
LS: n=5651, time=30429ms, length=224490
LS: n=5701, time=29913ms, length=225175
LS: n=5751, time=31923ms, length=227876
LS: n=5801, time=31429ms, length=231485
LS: n=5851, time=33017ms, length=232362
LS: n=5901, time=32551ms, length=231629
LS: n=5951, time=34597ms, length=236395
LS: n=6001, time=34419ms, length=238266
LS: n=6101, time=36629ms, length=240649
LS: n=6201, time=37390ms, length=247204
LS: n=6301, time=39834ms, length=251144
LS: n=6401, time=40314ms, length=255114
LS: n=6501, time=44187ms, length=257446
LS: n=6601, time=44914ms, length=265212
LS: n=6701, time=47403ms, length=269312
LS: n=6801, time=48009ms, length=271491
LS: n=6901, time=51086ms, length=278268
LS: n=7001, time=51362ms, length=283108
LS: n=7101, time=54639ms, length=284969
LS: n=7201, time=55937ms, length=289171
LS: n=7301, time=59027ms, length=293691
LS: n=7401, time=60846ms, length=298274
LS: n=7501, time=62252ms, length=305219
LS: n=7601, time=63962ms, length=307720
LS: n=7701, time=66610ms, length=312587
LS: n=7801, time=69128ms, length=313345
LS: n=7901, time=71322ms, length=319881
LS: n=8001, time=74830ms, length=324788
LS: n=8101, time=80621ms, length=328511
LS: n=8201, time=79884ms, length=332254
LS: n=8301, time=82965ms, length=336111
LS: n=8401, time=84318ms, length=345030
LS: n=8501, time=86980ms, length=348598
LS: n=8601, time=88886ms, length=353362
LS: n=8701, time=91935ms, length=354140
LS: n=8801, time=92931ms, length=356833
LS: n=8901, time=96979ms, length=360247
LS: n=9001, time=97113ms, length=368306
LS: n=9101, time=100174ms, length=371956
LS: n=9201, time=102319ms, length=375359
LS: n=9301, time=104929ms, length=379694
LS: n=9401, time=107065ms, length=387564
LS: n=9501, time=110553ms, length=389746
LS: n=9601, time=112815ms, length=396138
LS: n=9701, time=118010ms, length=394718
LS: n=9801, time=117835ms, length=404981
LS: n=9901, time=122471ms, length=408659
