communal ARCC MESA version loaded
/cluster/medbow/home/cworsley/tspComparison/bankGen.js:25
    fs.writeFileSync(fname, JSON.stringify(mat));
                                 ^

RangeError: Invalid string length
    at JSON.stringify (<anonymous>)
    at Object.<anonymous> (/cluster/medbow/home/cworsley/tspComparison/bankGen.js:25:34)
    at Module._compile (node:internal/modules/cjs/loader:1730:14)
    at Object..js (node:internal/modules/cjs/loader:1895:10)
    at Module.load (node:internal/modules/cjs/loader:1465:32)
    at Function._load (node:internal/modules/cjs/loader:1282:12)
    at TracingChannel.traceSync (node:diagnostics_channel:322:14)
    at wrapModuleLoad (node:internal/modules/cjs/loader:235:24)
    at Function.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:170:5)
    at node:internal/main/run_main_module:36:49

Node.js v22.15.0
Running Held-Karp experiment...
HK: n=2, time=0ms, length=32
HK: n=3, time=0ms, length=52
HK: n=4, time=0ms, length=144
HK: n=5, time=0ms, length=124
HK: n=6, time=1ms, length=81
HK: n=7, time=1ms, length=99
HK: n=8, time=3ms, length=96
HK: n=9, time=4ms, length=122
HK: n=10, time=13ms, length=113
HK: n=11, time=32ms, length=158
HK: n=12, time=81ms, length=94
HK: n=13, time=208ms, length=198
HK: n=14, time=503ms, length=115
HK: n=15, time=1242ms, length=141
HK: n=16, time=3027ms, length=135
HK: n=17, time=7355ms, length=178
HK: n=18, time=17648ms, length=154
HK: n=19, time=42011ms, length=144
HK: n=20, time=99603ms, length=134

Running Local Search experiment...
LS: n=2, time=0ms, length=32
LS: n=3, time=0ms, length=103
LS: n=4, time=0ms, length=150
LS: n=5, time=0ms, length=127
LS: n=6, time=0ms, length=156
LS: n=7, time=0ms, length=141
LS: n=8, time=0ms, length=222
LS: n=9, time=0ms, length=243
LS: n=10, time=0ms, length=176
LS: n=11, time=0ms, length=276
LS: n=12, time=0ms, length=227
LS: n=13, time=1ms, length=408
LS: n=14, time=0ms, length=310
LS: n=15, time=1ms, length=329
LS: n=16, time=0ms, length=361
LS: n=17, time=0ms, length=436
LS: n=18, time=1ms, length=571
LS: n=19, time=0ms, length=367
LS: n=20, time=0ms, length=536
LS: n=21, time=2ms, length=629
LS: n=22, time=0ms, length=519
LS: n=23, time=0ms, length=577
LS: n=24, time=0ms, length=449
LS: n=25, time=0ms, length=542
LS: n=26, time=1ms, length=644
LS: n=27, time=0ms, length=672
LS: n=28, time=0ms, length=635
LS: n=29, time=1ms, length=844
LS: n=30, time=0ms, length=831
LS: n=31, time=0ms, length=863
LS: n=32, time=0ms, length=676
LS: n=33, time=0ms, length=1012
LS: n=34, time=0ms, length=864
LS: n=35, time=0ms, length=1065
LS: n=36, time=1ms, length=1013
LS: n=37, time=0ms, length=985
LS: n=38, time=0ms, length=770
LS: n=39, time=0ms, length=1129
LS: n=40, time=0ms, length=924
LS: n=41, time=1ms, length=1005
LS: n=42, time=1ms, length=972
LS: n=43, time=0ms, length=1423
LS: n=44, time=0ms, length=1103
LS: n=45, time=1ms, length=1316
LS: n=46, time=1ms, length=1264
LS: n=47, time=0ms, length=1400
LS: n=48, time=1ms, length=1026
LS: n=49, time=1ms, length=1286
LS: n=50, time=1ms, length=1072
LS: n=53, time=1ms, length=1585
LS: n=56, time=1ms, length=1522
LS: n=59, time=1ms, length=1296
LS: n=62, time=0ms, length=1666
LS: n=65, time=1ms, length=1873
LS: n=68, time=2ms, length=1815
LS: n=71, time=1ms, length=1915
LS: n=74, time=2ms, length=2334
LS: n=77, time=3ms, length=2004
LS: n=80, time=2ms, length=2495
LS: n=83, time=1ms, length=2284
LS: n=86, time=3ms, length=2293
LS: n=89, time=3ms, length=2350
LS: n=92, time=2ms, length=2535
LS: n=95, time=2ms, length=2683
LS: n=98, time=3ms, length=2921
LS: n=101, time=5ms, length=2495
LS: n=106, time=3ms, length=2853
LS: n=111, time=4ms, length=3230
LS: n=116, time=6ms, length=3495
LS: n=121, time=5ms, length=3122
LS: n=126, time=8ms, length=3281
LS: n=131, time=6ms, length=3379
LS: n=136, time=9ms, length=3219
LS: n=141, time=5ms, length=4388
LS: n=146, time=10ms, length=3773
LS: n=151, time=8ms, length=3807
LS: n=156, time=10ms, length=4501
LS: n=161, time=13ms, length=3932
LS: n=166, time=8ms, length=4380
LS: n=171, time=12ms, length=4225
LS: n=176, time=13ms, length=4659
LS: n=181, time=13ms, length=4794
LS: n=186, time=17ms, length=5376
LS: n=191, time=10ms, length=5172
